hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
123,3,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
124,4,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
125,5,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
126,6,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
127,7,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
128,8,5,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
129,9,5,Threshold Charger,V2G,driving,False,0.8908,DRIVING,0.0,0.85,0.0
130,10,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
131,11,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
132,12,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
133,13,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
134,14,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
135,15,5,Threshold Charger,V2G,work,False,0.8908,IDLE,0.0,0.85,0.0
136,16,5,Threshold Charger,V2G,driving,False,0.8382,DRIVING,0.0,0.85,0.0
137,17,5,Threshold Charger,V2G,home,True,0.6782,DISCHARGE,-9.12,1.69,-15.4128
138,18,5,Threshold Charger,V2G,home,True,0.5182,DISCHARGE,-9.12,1.69,-15.4128
139,19,5,Threshold Charger,V2G,home,True,0.5,DISCHARGE,-1.037,1.69,-1.7526
140,20,5,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
141,21,5,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
142,22,5,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
143,23,5,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
144,0,6,Threshold Charger,V2G,home,True,0.7217,CHARGE,7.0,0.53,3.71
145,1,6,Threshold Charger,V2G,home,True,0.8325,CHARGE,7.0,0.53,3.71
146,2,6,Threshold Charger,V2G,home,True,0.9433,CHARGE,7.0,0.53,3.71
147,3,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
148,4,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
149,5,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
150,6,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.53,0.0
151,7,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
152,8,6,Threshold Charger,V2G,home,True,0.9433,IDLE,0.0,0.85,0.0
153,9,6,Threshold Charger,V2G,driving,False,0.8941,DRIVING,0.0,0.85,0.0
154,10,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
155,11,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
156,12,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
157,13,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
158,14,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
159,15,6,Threshold Charger,V2G,work,False,0.8941,IDLE,0.0,0.85,0.0
160,16,6,Threshold Charger,V2G,driving,False,0.8448,DRIVING,0.0,0.85,0.0
161,17,6,Threshold Charger,V2G,home,True,0.6848,DISCHARGE,-9.12,1.69,-15.4128
162,18,6,Threshold Charger,V2G,home,True,0.5248,DISCHARGE,-9.12,1.69,-15.4128
163,19,6,Threshold Charger,V2G,home,True,0.5,DISCHARGE,-1.4153,1.69,-2.3918
164,20,6,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
165,21,6,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
166,22,6,Threshold Charger,V2G,home,True,0.5,IDLE,0.0,1.69,0.0
167,23,6,Threshold Charger,V2G,home,True,0.6108,CHARGE,7.0,0.53,3.71
